Date,Open,High,Low,Close,Volume,Market Cap,Prev Close,Daily Change %,High-Low %,Open-Close %,Turnover,VWAP
2010-07-28,0.06,0.06,0.06,0.06,0.0,211234.5,0.056,7.142857142857137,0.0,0.0,0.0,0.06
2010-07-29,0.0589,0.0589,0.0589,0.0589,0.0,207361.8675,0.06,-1.8333333333333282,0.0,0.0,0.0,0.0589
2010-07-30,0.0699,0.0699,0.0699,0.0699,0.0,246611.5323,0.0589,18.675721561969443,0.0,0.0,0.0,0.0699
2010-07-31,0.0627,0.0627,0.0627,0.0627,0.0,222542.6775,0.0699,-10.300429184549353,0.0,0.0,0.0,0.0627
2010-08-01,0.0679,0.0679,0.0679,0.0679,0.0,240999.1675,0.0627,8.293460925039865,0.0,0.0,0.0,0.0679
2010-08-02,0.0611,0.0611,0.0611,0.0611,0.0,217540.9492,0.0679,-10.014727540500736,0.0,0.0,0.0,0.06110000000000001
2010-08-03,0.06,0.06,0.06,0.06,0.0,214639.5,0.0611,-1.8003273322422317,0.0,0.0,0.0,0.06
2010-08-04,0.06,0.06,0.06,0.06,0.0,214697.8333,0.06,0.0,0.0,0.0,0.0,0.06
2010-08-05,0.057,0.057,0.057,0.057,0.0,205503.525,0.06,-4.999999999999993,0.0,0.0,0.0,0.057
2010-08-06,0.061,0.061,0.061,0.061,0.0,219924.825,0.057,7.017543859649117,0.0,0.0,0.0,0.061
2010-08-07,0.0623,0.0623,0.0623,0.0623,0.0,225378.2727,0.061,2.131147540983611,0.0,0.0,0.0,0.0623
2010-08-08,0.059,0.059,0.059,0.059,0.0,214373.4271,0.0623,-5.296950240770473,0.0,0.0,0.0,0.059
2010-08-09,0.0609,0.0609,0.0609,0.0609,0.0,221276.9781,0.059,3.2203389830508575,0.0,0.0,0.0,0.0609
2010-08-10,0.071,0.071,0.071,0.071,0.0,258286.2822,0.0609,16.584564860426916,0.0,0.0,0.0,0.071
2010-08-11,0.07,0.07,0.07,0.07,0.0,256306.75,0.071,-1.408450704225334,0.0,0.0,0.0,0.07
2010-08-12,0.067,0.067,0.067,0.067,0.0,245322.175,0.07,-4.285714285714289,0.0,0.0,0.0,0.067
2010-08-13,0.07,0.07,0.07,0.07,0.0,257333.0521,0.067,4.4776119402985115,0.0,0.0,0.0,0.07
2010-08-14,0.0645,0.0645,0.0645,0.0645,0.0,237984.0375,0.07,-7.857142857142864,0.0,0.0,0.0,0.0645
2010-08-15,0.067,0.067,0.067,0.067,0.0,247480.7905,0.0645,3.8759689922480653,0.0,0.0,0.0,0.067
2010-08-16,0.0653,0.0653,0.0653,0.0653,0.0,242757.3754,0.067,-2.5373134328358313,0.0,0.0,0.0,0.0653
2010-08-17,0.0655,0.0655,0.0655,0.0655,0.0,243500.8896,0.0653,0.3062787136294115,0.0,0.0,0.0,0.0655
2010-08-18,0.07,0.07,0.07,0.07,0.0,260229.9583,0.0655,6.8702290076335935,0.0,0.0,0.0,0.07
2010-08-19,0.068,0.068,0.068,0.068,0.0,254435.3491,0.07,-2.8571428571428594,0.0,0.0,0.0,0.068
2010-08-20,0.0667,0.0667,0.0667,0.0667,0.0,249823.1825,0.068,-1.9117647058823666,0.0,0.0,0.0,0.0667
2010-08-21,0.0655,0.0655,0.0655,0.0655,0.0,245328.6125,0.0667,-1.7991004497751015,0.0,0.0,0.0,0.0655
2010-08-22,0.0664,0.0664,0.0664,0.0664,0.0,249272.0325,0.0655,1.3740458015267143,0.0,0.0,0.0,0.0664
2010-08-23,0.066,0.066,0.066,0.066,0.0,249042.75,0.0664,-0.6024096385542133,0.0,0.0,0.0,0.066
2010-08-24,0.0649,0.0649,0.0649,0.0649,0.0,244892.0375,0.066,-1.6666666666666723,0.0,0.0,0.0,0.0649
2010-08-25,0.065,0.065,0.065,0.065,0.0,246323.4583,0.0649,0.15408320493066696,0.0,0.0,0.0,0.065
2010-08-26,0.0648,0.0648,0.0648,0.0648,0.0,246316.14,0.065,-0.3076923076923165,0.0,0.0,0.0,0.0648
2010-08-27,0.064,0.064,0.064,0.064,0.0,243275.2,0.0648,-1.2345679012345605,0.0,0.0,0.0,0.064
2010-08-28,0.065,0.065,0.065,0.065,0.0,248840.5495,0.064,1.5625000000000013,0.0,0.0,0.0,0.065
