Date,Close,Volume,Open,High,Low,Prev Close,Daily Change %,High-Low %,Open-Close %,Turnover,VWAP
2019-03-09,3944.4,0.0,3865.9,3964.0,3859.7,3865.9,2.0305750278072376,2.702282560820794,-1.9901632694452893,0.0,3922.7000000000003
2019-03-10,3915.2,0.0,3944.3,3944.5,3889.2,3944.4,-0.7402900314369808,1.4218862491000768,0.7432570494483134,0.0,3916.2999999999997
2019-03-11,3865.1,0.0,3915.6,3935.5,3842.4,3915.2,-1.27962811606048,2.422964813658128,1.3065638663941426,0.0,3881.0
2019-03-12,3886.0,0.0,3870.3,3900.1,3817.1,3865.1,0.5407363328245088,2.1744256110659927,-0.40401441070509053,0.0,3867.7333333333336
2019-03-13,3864.9,0.0,3887.6,3894.7,3847.4,3886.0,-0.542974781266081,1.229401673857663,0.5873373179124898,0.0,3869.0
2019-03-14,3879.8,0.0,3864.6,3914.7,3828.4,3864.9,0.3855209707883798,2.254205412182628,-0.39177277179236747,0.0,3874.3000000000006
2019-03-15,3926.7,0.0,3882.7,3935.7,3874.8,3879.8,1.2088251971751027,1.5716940229173022,-1.120533781546846,0.0,3912.4
2019-03-16,4001.9,0.0,3922.4,4050.6,3923.7,3926.7,1.91509409937098,3.2341922165303183,-1.9865563857167847,0.0,3992.066666666666
2019-03-17,3979.6,0.0,4012.5,4009.8,3956.3,4001.9,-0.5572353132262221,1.352273588959381,0.8267162528897399,0.0,3981.9
2019-03-18,3974.4,0.0,3983.8,4032.3,3958.5,3979.6,-0.13066639863302387,1.8643425539977312,0.2365136876006464,0.0,3988.4
2019-05-03,5837.0,0.0,5230.5,5837.0,5319.5,3974.4,46.86493558776167,9.728357928376727,-10.390611615555937,0.0,5664.5
2019-05-04,5819.9,0.0,5230.5,5821.0,5319.5,5837.0,-0.2929587116669584,9.42757777986653,-10.12732177528823,0.0,5653.466666666667
2019-05-05,5688.1,0.0,5640.4,5774.5,5688.1,5819.9,-2.264643722400716,1.518960637119594,-0.8385928517431255,0.0,5716.900000000001
2019-05-06,5944.2,0.0,5692.5,5944.2,5745.5,5688.1,4.502382166276955,3.458358715516488,-4.234379731502975,0.0,5877.966666666667
2019-05-07,5880.1,0.0,5949.2,5891.3,5799.1,5944.2,-1.0783621008714286,1.5899018813264096,1.175150082481581,0.0,5856.833333333333
2019-05-08,6081.3,0.0,5876.7,6105.0,5990.0,5880.1,3.42171051512729,1.9198664440734556,-3.3644122144936173,0.0,6058.766666666666
2019-05-09,6225.4,0.0,6088.9,6225.8,6157.8,6081.3,2.3695591403153844,1.1042904933580173,-2.192630192437434,0.0,6203.0
2019-05-10,6499.5,0.0,6267.7,6518.5,6386.5,6225.4,4.402929932213198,2.0668597823534016,-3.5664281867836016,0.0,6468.166666666667
2019-05-11,6910.2,0.0,6421.5,6974.3,6386.5,6499.5,6.318947611354717,9.203789242934317,-7.072154206824692,0.0,6757.0
2019-05-12,7056.8,0.0,7155.5,7087.4,6893.1,6910.2,2.1215015484356514,2.818760789775272,1.3986509466046908,0.0,7012.433333333333
2019-05-13,7889.9,0.0,7047.8,8041.0,7784.8,7056.8,11.80563428182745,3.2910286712568055,-10.673139076540886,0.0,7905.233333333333
