Date,Open,High,Low,Close,Volume,Market Cap,Prev Close,Daily Change %,High-Low %,Open-Close %,Turnover,VWAP
2020-01-03,7214.705283027,7222.856260595,6953.660847796,6968.274896337,16978615552.320255,128456540022.85226,7213.918462217,-3.4051336616370262,3.8712761334099746,3.5364618984756264,118311660527790.2,7048.264001576
2020-01-04,6967.51107306,7384.887332524,6891.532175446,7317.184074338,23323885155.707115,130662850185.82352,6968.274896337,5.007109839831517,7.158860243528813,-4.778791919480795,170665161013028.6,7197.867860769334
2020-01-05,7324.098144991,7373.7943974,7290.638622143,7358.491964047,22091911757.372955,132598810198.4466,7317.184074338,0.5645326028337908,1.140582870263799,-0.4674030932430945,162563155137064.3,7340.97499453
2020-01-06,7356.759129712,7475.155225639,7341.45668574,7352.362745092,18782091517.372356,134419222812.48914,7358.491964047,-0.08329449817906112,1.8211445714676113,0.05979553474744218,138092749947236.98,7389.658218823667
2020-01-07,7361.712600237,7764.21795016,7357.585483456,7764.21795016,20385990287.92437,136278512926.95404,7352.362745092,5.60167145375043,5.526710734361698,-5.184106789721251,158281271725289.8,7628.673794592
2020-01-08,7751.389283527,8173.268894564,7751.389283527,8155.216395206,26898528961.36388,143243994478.9517,7764.21795016,5.035902489547479,5.4426322250846715,-4.951764516222865,219363324392638.12,8026.624857765666
2020-01-09,8152.750894301,8431.806289382,7889.175445587,8055.759827258,32572235030.894997,148885145141.64438,8155.216395206,-1.2195454188863115,6.878169303466748,1.2039965083717437,262394102445889.66,8125.580520742333
2020-01-10,8047.810851678,8047.810851678,7781.210633946,7829.063239858,27423415908.25392,142893103636.11987,8055.759827258,-2.8140931738423265,3.4262048706012544,2.7940457896207738,214699657398647.88,7886.028241827334
2020-01-11,7821.633549759,8160.41356717,7699.760199871,8160.41356717,25445878088.332382,142683057758.6851,7829.063239858,4.232311288853626,5.982697582019731,-4.151505492000296,207648888780581.38,8006.862444736999
2020-01-12,8173.013790191,8249.130106671,8024.156861576,8024.791558571,29273068672.2516,146762212989.91052,8160.41356717,-1.6619501877284517,2.8036994911240334,1.8470539768935115,234910274374553.8,8099.359508939334
2020-01-13,8031.849294841,8168.956022809,7979.109216272,8164.590607768,23264705657.57096,146765777200.64877,8024.791558571,1.742089475803093,2.379298257377419,-1.625817132835863,189946797304290.94,8104.218615616333
2020-01-14,8174.754397887,8176.991753055,8065.080319568,8116.969510017,20209676488.402725,146622670428.85986,8164.590607768,-0.5832637548990154,1.3876046989324282,0.7119022413314284,164041327863672.34,8119.680527546666
2020-01-15,8106.521950326,8844.280645076,8106.521950326,8838.564861799,30880804631.850952,154877884753.05545,8116.969510017,8.889960112471677,9.10080425700114,-8.282373020047054,272941994723157.6,8596.455819067
2020-01-16,8818.537331019,8875.853271286,8409.183692222,8807.632433908,41907940746.90112,158048673749.5914,8838.564861799,-0.34997115905876797,5.5495229518608395,0.12381190056272554,369109738160701.0,8697.556465805334
2020-01-17,8814.531198942,8840.121840206,8606.312632729,8722.037088492,30633889567.394585,157032648632.23404,8807.632433908,-0.9718314888626841,2.716717570633521,1.0604645395516548,267189920971583.7,8722.823853808999
2020-01-18,8725.248860453,8985.126764006,8675.456403323,8921.648280804,29962458959.557716,160221315058.64725,8722.037088492,2.288584539217002,3.5694993587240575,-2.2013804419254703,267314520465198.5,8860.743816044334
