Date,Dataset,Predicted Price,Trend
2019-03-10,processed_ds2,29645.941,No Trend
2019-03-11,processed_ds2,29533.752,Decrease
2019-03-12,processed_ds2,29609.947,Increase
2019-03-13,processed_ds2,29666.658,Increase
2019-03-14,processed_ds2,29596.547,Decrease
2019-03-15,processed_ds2,29695.395,Increase
2019-03-16,processed_ds2,29625.957,Decrease
2019-03-17,processed_ds2,29672.021,Increase
2019-03-18,processed_ds2,29629.344,Decrease
2019-05-03,processed_ds2,44570.668,Increase
2019-05-04,processed_ds2,30047.818,Decrease
2019-05-05,processed_ds2,29676.76,Decrease
2019-05-06,processed_ds2,30066.605,Increase
2019-05-07,processed_ds2,29878.504,Decrease
2019-05-08,processed_ds2,30092.244,Increase
2019-05-09,processed_ds2,30126.822,Increase
2019-05-10,processed_ds2,30225.467,Increase
2019-05-11,processed_ds2,30651.648,Increase
2019-05-12,processed_ds2,30120.787,Decrease
2019-05-13,processed_ds2,31114.69,Increase
2019-05-14,processed_ds2,30242.236,Decrease
2019-05-15,processed_ds2,30379.29,Increase
2019-05-16,processed_ds2,29836.34,Decrease
2019-05-17,processed_ds2,29730.303,Decrease
2019-05-18,processed_ds2,30473.299,Increase
2019-05-19,processed_ds2,30199.604,Decrease
2019-05-20,processed_ds2,30112.744,Decrease
2019-05-21,processed_ds2,30273.75,Increase
2019-05-22,processed_ds2,29977.646,Decrease
2019-05-23,processed_ds2,30408.156,Increase
2019-05-24,processed_ds2,30371.193,Decrease
2019-05-25,processed_ds2,30333.688,Decrease
2019-05-26,processed_ds2,30852.447,Increase
2019-05-27,processed_ds2,30489.01,Decrease
2019-05-28,processed_ds2,30288.943,Decrease
2019-05-29,processed_ds2,30243.953,Decrease
2019-05-30,processed_ds2,30171.326,Decrease
2019-05-31,processed_ds2,30482.797,Increase
2019-06-01,processed_ds2,30402.225,Decrease
2019-06-02,processed_ds2,30406.307,Increase
2019-06-03,processed_ds2,29641.719,Decrease
2019-06-04,processed_ds2,30093.027,Increase
2019-06-05,processed_ds2,30250.023,Increase
2019-06-06,processed_ds2,30247.24,Decrease
2019-06-07,processed_ds2,30392.85,Increase
2019-06-08,processed_ds2,30220.729,Decrease
2019-06-09,processed_ds2,30016.508,Decrease
2019-06-10,processed_ds2,30489.166,Increase
2019-06-11,processed_ds2,30191.72,Decrease
2019-06-12,processed_ds2,30498.041,Increase
2019-06-13,processed_ds2,30339.31,Decrease
2019-06-14,processed_ds2,30721.084,Increase
2019-06-15,processed_ds2,30504.48,Decrease
2019-06-16,processed_ds2,30369.621,Decrease
2019-06-17,processed_ds2,30560.945,Increase
2019-06-18,processed_ds2,30293.338,Decrease
2019-06-19,processed_ds2,30568.916,Increase
2019-06-20,processed_ds2,30720.479,Increase
2019-06-21,processed_ds2,31321.484,Increase
2019-06-22,processed_ds2,30545.924,Decrease
2019-06-23,processed_ds2,30472.473,Decrease
2019-06-24,processed_ds2,30940.613,Increase
2019-06-25,processed_ds2,31221.13,Increase
2019-06-26,processed_ds2,31444.977,Increase
2019-06-27,processed_ds2,29792.371,Decrease
2019-06-28,processed_ds2,30859.516,Increase
2019-06-29,processed_ds2,30972.605,Increase
2019-06-30,processed_ds2,29991.424,Decrease
2019-07-01,processed_ds2,30051.441,Increase
2019-07-02,processed_ds2,31245.055,Increase
2019-07-03,processed_ds2,31076.072,Decrease
2019-07-04,processed_ds2,30364.383,Decrease
2019-07-05,processed_ds2,30551.604,Increase
2019-07-06,processed_ds2,30650.238,Increase
2019-07-07,processed_ds2,30888.889,Increase
2019-07-08,processed_ds2,31863.193,Increase
2019-07-09,processed_ds2,30943.143,Decrease
2019-07-10,processed_ds2,30147.322,Decrease
2019-07-11,processed_ds2,30378.354,Increase
2019-07-12,processed_ds2,30917.38,Increase
2019-07-13,processed_ds2,30551.656,Decrease
2019-07-14,processed_ds2,29685.287,Decrease
2019-07-15,processed_ds2,31141.76,Increase
2019-07-16,processed_ds2,29436.123,Decrease
